commodity_name,modal_price
Peach,32.88006578947368
Seetafal,32.75714285714286
Coriander(Leaves),32.70258676275365
Pineapple,32.40697663971248
Gur(Jaggery),32.20006788354201
Thogrikai,31.736842105263158
Pear(Marasebu),31.1233431085044
Dhaincha,30.834318181818183
Beetroot,30.462054736842106
Amphophalus,29.807798165137612
Green+Chilli,29.767256007029665
Snakeguard,29.754593618302227
Gram+Raw(Chholia),29.743055555555557
Mint(Pudina),29.213175965665236
Field+Pea,29.058688029020555
Amaranthus,29.007692990239573
Honge+seed,28.770555555555557
Capsicum,28.68173542816023
Turmeric+(raw),28.46988950276243
Beaten+Rice,27.591489361702127
Persimon(Japani+Fal),27.089147286821706
Same/Savi,26.784878048780488
Chikoos(Sapota),26.52751023751024
Rice,26.380366165413534
Colacasia,26.33263577386469
Maida+Atta,26.124509803921566
Elephant+Yam+(Suran),25.83242888402626
Chapparad+Avare,25.72093023255814
Wheat+Atta,25.547142857142855
Guava,25.445315721649482
Carrot,25.298490413723513
Alsandikai,25.266666666666666
Bitter+gourd,25.0515972378172
Paddy(Dhan)(Basmati),25.015756172839506
Tamarind+Seed,24.791182795698923
Banana,24.53493184816063
Papaya,24.324020124580738
Kinnow,24.042684172137125
Jowar(Sorghum),23.99056900475895
Ragi+(Finger+Millet),23.95639554317549
Neem+Seed,23.937941176470588
Millets,23.896237623762374
Snake+gourd,23.882574257425745
Onion,23.849755054778658
Chilly+Capsicum,23.37348880597015
Ridge+gourd(Tori),21.97407871198569
Ashgourd,21.886879271070615
Methi(Leaves),21.86860398860399
Galgal(Lemon),21.63809523809524
Tapioca,21.28768809849521
Toria,21.234507042253522
Hybrid+Cumbu,21.09235294117647
T.V.+Cumbu,20.77539451114923
Hen,20.653718592964825
Banana+-+Green,20.36213661732589
Marigold(Calcutta),20.357222222222223
Kodo+Millet(Varagu),20.339206349206346
Bunch+Beans,20.1
Tinda,19.87045473000406
Suvarna+Gadde,19.590491803278688
Cauliflower,19.461127322079907
Wheat,19.35990624696396
Sweet+Potato,19.20829331046312
Balekai,19.115384615384617
Ridgeguard(Tori),19.068848639122773
Tomato,18.64488692232055
Maize,18.115858966761838
Leafy+Vegetable,17.766729678638942
Barley+(Jau),17.407011818662905
Brinjal,17.31702428308496
Paddy(Dhan)(Common),17.229019090680733
Knool+Khol,16.927207637231504
Sajje,16.688333333333333
Papaya+(Raw),16.68081632653061
Onion+Green,16.619308885754585
Seemebadnekai,16.49375
Thondekai,16.069054054054053
Chow+Chow,16.04054054054054
Cabbage,15.900026031570201
Cucumbar(Kheera),15.659316645439404
Round+gourd,15.358952569169961
Ambada+Seed,15.006666666666666
Sponge+gourd,14.719602510460252
Jack+Fruit,14.283540596094554
Sweet+Pumpkin,14.198910386965377
Karbuja(Musk+Melon),13.897618348623855
Turnip,12.587934782608695
Long+Melon(Kakri),12.585454545454546
Cock,12.507638888888888
Bottle+gourd,11.704568500779683
Spinach,11.654241985147618
Indian+Colza(Sarson),11.647058823529411
Season+Leaves,11.436319444444443
Pumpkin,11.393389626714763
Lukad,11.25
Potato,10.97296603893356
White+Pumpkin,10.891375
Water+Melon,10.59367482766817
Broken+Rice,10.262325581395348
Raddish,9.870710789850163
Bran,8.5
Myrobolan(Harad),6.766666666666667
Egg,6.574705882352941
Dry+Fodder,5.482626262626263
Bamboo,4.706
Wood,4.4924566473988445
Duck,3.601923076923077
Hippe+Seed,3.2068421052631577
Firewood,2.743478260869565
Sugarcane,2.733333333333333
Green+Fodder,1.9988461538461537
Rose(Local),1.7
Tube+Rose(Loose),1.4
