market,modal_price
Jeerapur,41.475
Pavagada,41.45454545454545
Dimapur,41.44755244755245
Mohanpur,41.44133333333333
Deesa,41.414426002766255
Vani,41.39947368421053
Rajula,41.37696755994358
Kotputli,41.375
Mumbai,41.34568326271186
Sindi,41.28857142857142
Ariyalur Market,41.28408450704225
Khetia,41.276162790697676
Gingee,41.258407766990295
Kangra(Jaisinghpur),41.257566844919786
Sironj,41.2068115942029
Tapa(Tapa Mandi),41.17857142857143
Kosamba(Vankal),41.166666666666664
Uchana,41.16206060606061
Hadgaon(Tamsa),41.125
Nargunda,41.12309644670051
Barad,41.080000000000005
Parassala,41.04624277456647
Perinthalmanna,40.946587537091986
Pachaur,40.8922619047619
Dibrugarh,40.84375
Khajuwala,40.75787878787879
Samudrapur,40.71310344827587
Choubepur,40.71296994696524
Balarampur,40.69239436619718
Solan,40.682372505543235
Hirekerur,40.667088607594934
Punchaipuliyampatti,40.614814814814814
Aarni,40.55357142857143
Gunpur,40.489583333333336
Malegaon(Umarane),40.44929824561404
Vadgam,40.414312796208534
Chandur Railway,40.3775
Cherthala,40.37383522727273
Kulgam,40.362150537634406
Rawla,40.34297297297297
Vankaner(Sub yard),40.33522727272727
Raiganj,40.330882352941174
Ghatanji,40.317241379310346
Puramattom,40.26373626373626
Khamgaon,40.255696202531645
Dhoraji,40.15698557327259
Umarkhed,40.12407407407407
Barpathari,40.10550458715596
Kalsi,40.09090909090909
Bhiwapur,40.06294117647059
Jorhat,40.020108695652176
Dabwali,40.0
Aklera,39.983781190019194
Jafarganj,39.960513643659716
Vikkiravandi,39.94067975830816
Godabhaga,39.89263157894737
Nongpoh (R-Bhoi),39.888888888888886
Khedli(laxmangarh),39.86857142857143
Junagarh,39.861
Chethupattu,39.80833333333333
Garoth,39.75
Vamanapuram,39.62783505154639
Thiruvarur,39.60214285714285
Sagar,39.546875
Bareta,39.544380165289255
Lalgarh Jatan,39.51142857142857
Bidar,39.47261111111111
Gazipur,39.46176016469377
Sealdah Koley Market,39.457142857142856
Goluwala,39.415
Jullana,39.40137931034483
Gajsinghpur,39.35858823529412
Thalaivasal,39.358
Kailaras,39.34323076923077
Degana,39.3313063063063
Deeg,39.269999999999996
Khariar,39.26446808510638
Tenali,39.256410256410255
Visnagar,39.237272727272725
Tadkalas,39.22863636363636
Khariar Road,39.21579861111111
Gangakhed,39.161403508771926
Nabha,39.11856302108877
Mirzapur,39.11550971836573
Kottayam,39.061624649859944
Kesamudram,39.01634304207119
Kosamba(Zangvav),39.0
Ateli,39.0
Chalakudy,38.974137931034484
Bhawani Mandi,38.96478260869566
Virudhachalam,38.96391304347826
Pulwama (F&V),38.892857142857146
Dahod,38.883489208633094
Kullu,38.84120054570259
Itawa,38.82646888567294
Lunkaransar,38.821407407407406
Ashti,38.81818181818182
Rayagada(Muniguda),38.80952380952381
Bhuntar,38.785927051671734
Lashkar,38.75714285714286
Baghry,38.67142857142857
Chinnoar,38.666666666666664
Loha,38.64452380952381
Kasganj,38.61392569002123
Maksi,38.607692307692304
Boxonagar,38.6058
Daloda,38.57824034334764
Palayam,38.56710280373832
Parbhani,38.56211538461538
Lahar,38.506
Mehatpur,38.465406976744184
Kottarakkara,38.46242774566474
Shimla,38.45938104448743
Babhulgaon,38.443275862068965
Ganjbasoda,38.416666666666664
Mundaragi,38.41075356415479
Pratapgarh,38.39372825864538
Gonda,38.38912556053812
Kamalghat,38.36929824561403
Kodungalloor,38.30409356725146
Baran,38.26634814814815
Kunkuri,38.23846153846154
Soundati,38.17625
Chelakkara,38.162624768946394
Agar,38.12805194805195
Kalimpong,38.12432432432432
Laxmeshwar,38.06497512437811
Latur,38.060030864197536
Kurara,38.05544554455445
Kohima,38.048780487804876
Kesarisinghpur,38.04486486486487
Valangaiman,38.024
Gadag,38.006270042194096
Ulhasnagar,38.005797101449275
Kishangarh Renwal,38.0
Mahur,38.0
Kalyanpur,37.965019255455715
Sindi(Selu),37.96368600682594
Patan,37.960469387755104
Khedh(Bodaramev),37.91
Bhawanipatna,37.85638888888889
Nalkehda,37.85541411042945
Panipat,37.84624277456647
Beldanga,37.78947368421053
Piprai,37.776666666666664
Goalpara,37.765853658536585
Kilpennathur,37.765
Kolhapur,37.755229885057474
Alirajpur,37.7
Jangipura,37.62431318681319
Gajol,37.620440251572326
Iamailabad,37.58555555555556
Mugrabaadshahpur,37.575852585258524
Gandacharra,37.56084337349398
Nira,37.545641025641025
Hamirpur(Nadaun),37.51033966033966
Mysore (Bandipalya),37.48978666666667
Theni,37.45
Chithode,37.425862068965515
Kumbhraj,37.38611111111111
Vijapur,37.36043956043956
Karaikal,37.31142857142857
Sohela,37.269067796610166
Ashti(Karanja),37.255294117647054
Gurusarai,37.18828238719068
Panisagar,37.18021207177814
Khanpur,37.15456614509246
Thirurrangadi,37.15350943396226
Mandi(Mandi),37.10437037037037
Tusura,37.05882352941177
Siliguri,37.03092783505155
Ferozepur Cantt.,37.02859531772575
Sitmau,37.015454545454546
Ernakulam,37.0153452685422
Hadgaon,37.0
Bindki,36.99572346052134
Pongalur,36.96842105263158
Mehsana,36.930726872246694
Vijapur(Gojjariya),36.924789915966386
Karsiyang(Matigara),36.88732394366197
Rura,36.86913963328632
Kalamnuri,36.8
Vijapur(Kukarvada),36.796186440677964
Bethuadahari,36.79245283018868
Parappanangadi,36.78149705634987
K.Mandvi,36.750625
Tenning,36.73015873015873
Sri Madhopur,36.69476804123711
Anand,36.65
Wanaparthy town,36.64710526315789
Badod,36.63891891891892
Thiruppur,36.575
Khirakiya,36.541818181818186
Isagarh,36.50094339622641
Sankeshwar,36.44976190476191
Nagda,36.440000000000005
Amarawati,36.38757085020243
Jambusar(Kaavi),36.378571428571426
Chimur,36.360416666666666
Parimpore,36.34251273344652
Talcher,36.33039215686274
Balasinor,36.291666666666664
Murtizapur,36.28333333333333
Alwar,36.27777777777778
Tanda Urmur,36.25319926873858
Chittapur,36.25
Beawar,36.2400395256917
Jaitsar,36.228303571428576
Udumalpet,36.196296296296296
Batote,36.182539682539684
Yamuna Nagar,36.153645833333336
Chechat,36.15
Kathua,36.129746835443036
Bhawanigarh,36.12559090909091
Datia,36.096428571428575
Chotila,36.025
Aheri,36.0
Ankleshwar,35.975459307010475
Washim(Ansing),35.92011494252874
Banda,35.88159108378171
Bagalakot,35.845470588235294
Suratgarh,35.84250769230769
Sheopurkalan,35.79557441253264
Himatnagar,35.75249500998004
Bagasara,35.73948837209302
Una,35.73107932379714
Udgir(Devanibud),35.709259259259255
Kalamb,35.693548387096776
Mehsana(Jornang),35.692874692874696
Basava Kalayana,35.664835680751175
Melaghar,35.6546875
Kille Dharur,35.648646616541356
Fatehpur,35.63271880819367
Sindkhed Raja,35.61666666666667
Gulbarga,35.57010810810811
Kolaras,35.56503703703704
Bahraich,35.54898566703418
Mahuva(Station Road),35.52364341085271
Patharia,35.506245353159855
Kota,35.43922491349481
Anakapally,35.415240963855425
Laxettipet,35.4
Chakur,35.373222222222225
Auraiya,35.34721382289417
Balrampur,35.329885057471266
Jagadhri,35.31171171171171
Villupuram,35.29788321167883
Hubli (Amaragol),35.26368595041322
Sabalgarh,35.2620634920635
Golaghat,35.25
Chittorgarh,35.24262101534829
Manora,35.23911764705882
Jhalarapatan,35.23593659942363
Aurad Shahajani,35.203943661971834
Susner,35.196666666666665
Sampla,35.126126126126124
Umarked(Danki),35.082352941176474
Mandsaur,35.07554794520548
Kustagi,35.06701298701299
Guna,35.04684210526316
Bilaspur,35.0405615550756
Neyyatinkara,35.026365348399246
Kunnathukkal,35.0
Shadora,34.9825
Partaval,34.939457446808504
Padampur,34.92933566433567
Bolpur,34.92456896551724
Ramaganj Mandi,34.91843373493976
Bellary,34.858369028006585
Sandila,34.85327687776142
Bongiagaon,34.851388888888884
Sriganganagar,34.84824827586207
Narsinghpur,34.84230769230769
Longleng,34.82954545454545
Raisingh Nagar,34.811
Jaipur(Bassi),34.793129251700684
Anajngaon,34.791044776119406
Karanja,34.78486547085202
Udala,34.755614973262034
Savli,34.74387755102041
Badepalli,34.726831683168314
Latur(Murud),34.69810344827586
Raichur,34.623699731903486
Khatora,34.601111111111116
Palitana,34.57242424242425
Mow,34.55833333333334
Mangrulpeer,34.54936
Bhalki,34.5
Madhogarh,34.484693877551024
Maksudangarh,34.44313492063492
Ridmalsar,34.435
Faizabad,34.423202598652544
Rawatsar,34.36794117647059
Chavassery,34.355357142857144
Mehekar,34.35354330708661
Sultanpur,34.29650599400599
Egra/contai,34.29032258064516
Yeotmal,34.28609053497942
Dhand,34.28438914027149
Khachrod,34.281333333333336
Lalbagh,34.25
Udaipur,34.23252631578948
Sawai Madhopur,34.21808398950131
Indore,34.21284023668639
Robertsganj,34.181172106824924
Lalsot,34.17634948096886
Katol,34.17247771836008
Masli,34.130812500000005
Bundi,34.12837471783296
Jintur(Bori),34.126999999999995
Mauranipur,34.11996899224806
Vandavasi,34.11
Chomu,34.09190476190476
Baruipur(Canning),34.083333333333336
Jangipur,34.042388059701494
Safdarganj,34.01158509861212
Dhansura,33.952713987473906
Bharthna,33.93308953900709
Jambusar,33.918510638297874
Hoskote,33.917142857142856
Gandhwani,33.886153846153846
Dhamngaon-Railway,33.876694915254234
Haveri,33.872830188679245
S.Mandvi,33.872326797385625
Tuljapur,33.864831460674154
Sumerpur,33.85473684210527
Pen,33.83642857142858
Atarra,33.78789267015707
Soyatkalan,33.78125
Sindagi,33.75
Asansol,33.722376154492025
Jaipur (Grain),33.7138679245283
Gulabganj,33.7
Koderma,33.69230769230769
Utraula,33.6848615916955
Kottur,33.68374429223744
Nilanga,33.6705
Narwana,33.663716814159294
Birmaharajpur,33.63669064748201
Palghar,33.63185185185185
Karimpur,33.61526205450733
Basti,33.605642827614716
Silvani,33.6
Thanesar,33.58496240601504
Dharwar,33.5648
Modasa,33.53037698412699
Azamgarh,33.506628857821156
Devariya,33.49663482532751
Raath,33.4894414893617
Barnala,33.47072771872445
Chhapiheda,33.46375
Ausa,33.46026086956522
Talalagir,33.4431330472103
Angaura,33.43434343434343
Kalamb(Osmanabad),33.429148936170215
Badnagar,33.40047619047619
Fulmbri,33.375
Udhampur,33.372492836676216
Mandvi,33.347605932203386
Garhakota,33.31541666666667
Khedbrahma,33.311977401129944
Lucknow,33.28555828220859
Mansa,33.28442064264849
Bhiwani,33.26711111111111
Lalsot(Mandabari),33.259976415094336
Sirsa,33.25184931506849
Safidon,33.22157894736842
Gairatganj,33.21923076923077
Pimpalgaon,33.196167979002624
Holalkere,33.16894736842105
Berasia,33.15909090909091
Talod,33.155099502487566
Dabra,33.104874371859296
Achalda,33.08922175732218
Chuliaposi,33.08842975206611
Jaunpur,33.04009702241552
Tumsar,33.01
Achalpur,33.0
Attabira,32.998387096774195
Nanggaon,32.987500000000004
Orai,32.96669054441261
Harpalpur,32.95294117647059
Hardoi,32.93641478212907
Ulundurpettai,32.934496314496315
Mehrauni,32.92118556701031
Akot,32.89587628865979
A lot,32.868478260869566
Akbarpur,32.84559004392386
Pune,32.83920607267297
Chitwadagaon,32.82230113636364
Suthalia,32.81948717948718
Narwal Jammu (F&V),32.791905737704916
Chandrapur,32.7871052631579
Hinjilicut,32.78238341968912
Nimbahera,32.779703588143526
Kopaganj,32.77438732394366
Vansda,32.75308641975309
Dehgam(Rekhiyal),32.73514367816092
Nanjangud,32.707764705882354
Karatgi,32.68697674418605
Srirangapattana,32.660865384615384
Annur,32.65217391304348
Rajouri (F&V),32.62558139534884
Wardha,32.60265
Rayagada,32.598
Badwani,32.59183673469388
Bagru,32.582772277227726
Maur,32.579154302670624
Kangra(Baijnath),32.57533742331289
Muskara,32.55885448916409
Gollapally,32.54666666666667
Sinner,32.52058823529412
Vikarabad,32.51983870967742
Varora,32.50666666666667
Bassi Pathana,32.503901273885354
Hinganghat,32.501255411255414
Dhanora,32.5
Akhnoor,32.48236331569665
Mhow,32.47338709677419
Chandrapur(Ganjwad),32.46474246841594
Shivpuri,32.447489361702125
Kareli,32.43023255813954
Pukhrayan,32.41471615720524
Gohad,32.410000000000004
Perambra,32.3984375
Etawah,32.37793258426966
Murim,32.37417142857143
Badrisadri,32.35458579881657
Harsood,32.315
Firozepur City,32.311707097933514
Damnagar,32.304098360655736
Lasalgaon(Vinchur),32.29901408450704
Paliakala,32.292384370015945
Shahabad(New Mandi),32.27491467576792
Pargi,32.25833333333333
Chorichora,32.2562119366626
Mukkom,32.20175438596491
Bhanjanagar,32.19246376811594
Nagpur,32.19216282894737
Kopargaon,32.182797858099065
Doharighat,32.176086956521736
Aligarh,32.17425986842105
Manvi,32.16392857142857
Ujjain,32.13440366972477
Chamba,32.131813909774436
Durg,32.114375
Pichhour,32.11333333333334
Udaipura,32.097388059701494
Dhanotu (Mandi),32.072404371584696
Modasa(Tintoi),32.06510903426791
Barikpur,32.048920863309355
Shamli,32.02211493170042
Farukhabad,32.020457256461235
Alibagh,32.0
Murud,32.0
Porsa,31.997543859649124
Manwat,31.986491228070175
Koppal,31.973695652173912
Rona,31.971971830985918
Anta,31.968916666666665
Mangaon,31.87272727272727
Dahod(Veg. Market),31.86437591063623
Jajpur,31.856876456876456
Kurawar,31.848333333333333
Koraput,31.84516129032258
Kuttulam,31.842000000000002
Fazilka,31.81940298507463
Karjat,31.783333333333335
Kushtholy,31.75357142857143
Baberu,31.718638449770527
Bardoli(Katod),31.696039603960397
Soharatgarh,31.663377192982455
Yusufpur,31.644444444444446
Ballia,31.581585150265173
Momanbadodiya,31.56092307692308
Nowpora,31.556140350877193
Mahoba,31.535014925373133
Birbhum,31.526091160220993
Ajaygarh,31.519914772727272
Lateri,31.495238095238093
Lehra Gaga,31.4945
Allahabad,31.477701196863393
Rasda,31.477619047619047
Taura,31.466957605985037
Santoshgarh,31.45614035087719
Jhijhank,31.433477321814255
Hungund,31.425
Bandikui,31.4075
Faridkot,31.397466367713
Tamluk (Medinipur E),31.392610837438422
Sadulshahar,31.39166666666667
Bhiloda,31.38689655172414
Barabanki,31.367476882430648
Anjad,31.35909090909091
Khilchipur,31.35496
Malur,31.336645161290324
Atru,31.305
Chandur Bazar,31.300212765957447
Hindol,31.299492385786802
Madhira,31.2875
Pudupalayam,31.264705882352942
Nagar,31.205396825396825
Washim,31.17389558232932
Kavunthapadi,31.172500000000003
Badarwas,31.167142857142856
Mhalingapur,31.138628571428573
Panposh,31.136363636363637
Umarga,31.131290322580643
Fatehnagar,31.115654205607477
Dehgam,31.10756218905473
Khurai,31.087142857142858
Santhesargur,31.085923076923077
Mangkolemba,31.076923076923077
Nadia,31.068498659517424
Bhokar,31.06718811881188
Aron,31.033641304347825
Surat,31.030816932788714
Anoopgarh,31.003333333333334
Bemetara,31.0
Lalitpur,30.99402834763148
Niwai,30.970499999999998
Golagokarnath,30.949708963911526
Bhainsa,30.946263736263738
Narayanpet,30.939322033898307
Tuensang,30.92982456140351
Ahmednagar,30.905518672199168
Madhoganj,30.901676528599605
Krosuru,30.9
Burgampadu,30.85090909090909
Nizamabad,30.84790780141844
